Akademik,Link
Pedoman Pendidikan 2022/2023,https://ftmm.unair.ac.id/pedoman-pendidikan-2022-2023/
Alur Pengajuan Surat Rekomendasi,https://ftmm.unair.ac.id/alur-pengajuan-surat-rekomendasi/
Alur Pengajuan Surat Keterangan Mahasiswa Aktif (SKMA),https://ftmm.unair.ac.id/alur-pengajuan-surat-keterangan-mahasiswa-aktif-skma/
Alur Pengajuan Surat Keterangan,https://ftmm.unair.ac.id/alur-pengajuan-surat-keterangan/
Alur Pengajuan Legalisir dan Transkrip Nilai,https://ftmm.unair.ac.id/alur-pengajuan-legalisir-dan-transkrip-nilai/
Alur Pengajuan Cuti Akademik,https://ftmm.unair.ac.id/alur-pengajuan-cuti-akademik/
Alur Pengajuan Undur Diri,https://ftmm.unair.ac.id/alur-pengajuan-undur-diri/
Alur Pengajuan Terlambat Bayar UKT,https://ftmm.unair.ac.id/alur-pengajuan-terlambat-bayar-ukt/
Alur Pengajuan Pengantar KTM Hilang,https://ftmm.unair.ac.id/alur-pengajuan-pengantar-ktm-hilang/
Panduan Pendidikan,https://ftmm.unair.ac.id/panduan-pendidikan-ftmm/
Buku Panduan Pelaksanaan Program MSIB 2023,https://ftmm.unair.ac.id/buku-panduan-pelaksanaan-program-msib-2023/
Informasi Skripsi,https://ftmm.unair.ac.id/informasi-skripsi/
Informasi Yudisium,https://ftmm.unair.ac.id/informasi-yudisium/
Form & Dokumen Keperluan Praktik Kerja Lapangan,https://ftmm.unair.ac.id/informasi-pkl-fakultas-teknologi-maju-dan-multidisiplin/
Kalender Akademik,https://ftmm.unair.ac.id/kalender-akademik/
Kemahasiswaan,https://kemahasiswaan.unair.ac.id/category/agenda/
Sistem Kredit Prestasi,https://ftmm.unair.ac.id/sistem-kredit-prestasi-skp/
Alumni FTMM,https://ftmm.unair.ac.id/alumni-ftmm/
Pendaftaran Mahasiswa,https://ftmm.unair.ac.id/pendaftaran-mahasiswa/
Pengabdian Masyarakat,https://ftmm.unair.ac.id/berita-pengmas-ftmm/
Penelitian,https://ftmm.unair.ac.id/research-groups/
