Nama Mata Kuliah,Kode Mata Kuliah,Beban Studi,Prodi,Semester,Prasyarat,Capaian Pembelajaran Mata Kuliah,Deskripsi Mata Kuliah/Silabus
Agama Islam I,AGI101,2 sks,general,1.0,Tidak Ada,"Setelah mengikuti perkuliahan, mahasiswa dapat: a). mengimplementasikan berbagai macam cara untuk memperkuat Iman dan Takwa, b). mengembangkan akhlak mulia, serta c). menjadikan ajaran Islam sebagai landasan berfikir dan berperilaku dalam pengembangan profesi.","Mata kuliah Agama Islam I membahas tentang: a). Konsep Ketuhanan dalam Islam, b) Keimanan, Ketakwaan dan Implementasinya dalam Kehidupan, c). Hakikat Manusia Menurut Islam, d). Hukum, HAM dan Demokrasi dalam Islam, e). Hukum Islam dan Kontribusi Umat Islam Indonesia, f). Etika, Moral dan Akhlak, g). IPTEK dalam Islam, h). Masyarakat Madani, i). Kerukunan Antar Umat Beragama, j). Ekonomi Islam dan Kesejahteraan Umat, k). Kebudayaan dan Seni dalam Islam, serta l). Sistem Politik Islam."
Agama Katolik I,AGK101,2 sks,general,1.0,Tidak Ada,"Setelah mengikuti perkuliahan, mahasiswa strata satu (1) dapat menerapkan berbagai macam cara memperkuat Iman & Takwa dan mengembangkan akhlak mulia serta menjadikan ajaran Katolik sebagai landasan berpikir & berperilaku dalam pengembangan ilmu dan profesi.","1. Tuhan Yang Maha Esa 2. Manusia 3. Etika Moral 4. Dialog dan Kerukunan Umat Beragama 5. IPTEKS dan Iman Katolik 6. Budaya dan Iman Katolik 7. Iman dan Sosial Politik 8. Hukum, HAM dan Demokrasi "
Agama Protestan I,AGP101,2 sks,general,1.0,Tidak Ada,"Setelah mengikuti perkuliahan, mahasiswa dapat: a). mengimplementasikan berbagai macam cara memperkuat Iman dan Takwa, b). mengembangkan akhlak mulia serta c). menjadikan ajaran Kristen Protestan sebagai landasan berfikir & berperilaku dalam pengembangan profesi.","membahas tentang Protestan merupakan sebuah mata kuliah yang menjadikan agama sebagai sumber nilai dan pedoman dalam pengembangan kepribadian Kristiani yang menjunjung tinggi harkat dan martabat manusia. Mata kuliah ini disajikan berdasarkan komponen Kurikulum Berbasis Kompetensi (KBK), yang terdiri dari Kompetensi, Substansi Kajian, Sub Kajian dan seluruh proses pembelajaran termasuk metodologi dan evaluasi. Substansi kajian merupakan topik yang telah ditetapkan oleh Ditjen Dikti melalui SK No. 38/Dikti/Kep/2002."
Agama Hindu I,AGH101,2 sks,general,1.0,Tidak Ada,"Setelah mengikuti perkuliahan, mahasiswa dapat a). mengimplementasikan berbagai macam cara memperkuat Iman dan Takwa b). mengembangkan akhlak mulia serta c). menjadikan ajaran Hindu sebagai landasan berfikir & berperilaku dalam pengembangan profesi.","Mata kuliah ini membahas tentang a). Konsepsi Ketuhanan (Brahma Widya), b). Catur Marga Yoga, c). Hakekat Manusia Hindu I, d). Hakekat Manusia Hindu II, d). Etika dan Moralitas I, e). Etika dan Moralitas II, f). Ilmu Pengetahuan Teknologi Dalam Perspektif Hindu I, II, g). Kerukunan Hidup Umat Beragama, h). Masyarakat Kerja Jagadhita, i). Budaya Sebagai Pengalaman Ajaran Hindu, j). Politik Menurut Perspektif Hindu, Hindu Dalam Kerangka Menegakkan Keadilan."
Agama Budha I,AGV101,2 sks,general,1.0,Tidak Ada,"Setelah mengikuti perkuliahan, mahasiswa dapat mengimplementasikan berbagai macam cara memperkuat Iman & Takwa dan mengembangkan akhlak mulia serta menjadikan ajaran Budha sebagai landasan berfikir & berperilaku dalam pengembangan profesi.","1) Hakekat Tuhan Yang Maha Esa, didalam kitab suci UDANA VIII : 3 dilukiskan sebagai berikut : Yang Mutlak dan tidak berkondisi dan tidak dilahirkan adalah Nibbana (orang yang telah mencapai kesucian) Arahat 2) Lahirnya P. Sidarta selama enam tahun dan pencapain penerangan sempurna (menjadi) Buddha, pembabaran Dharma di Taman Isipatana terbentuknya Sangha 3) Sebelum seseorang menjadi Buddha harus menajdi seorang Bodisatva, mempunyai sifat Metta Karuna dan Mudita dan lebih mementingkan orang lain daripada diri sensiri 4) Humum keTidak AdaSunyataan yang berlaku di 31 alam kehidupan, alam Arupa Loka, Rupa Loka dan Karma Loka 5) Hukum karma perbuatan yang dilakukan oleh mano Vacci dan karma dan didorong oleh cetana, tanpa cetana tidak akan ada satu karma. Karma adalah hasil dari perbuatan dan akan menerima, menerapkan serta melaksanakan. "
Agama Konghucu I,AGC101,2 sks,general,1.0,Tidak Ada,"Setelah mengikuti mata kuliah ini mahasiswa dapat mengimplementasikan berbagai macam cara: a). mengembangkan akhlak mulia serta menjadikan ajaran Konghucu sebagai landasan berfikir dan berperilaku dalam pengembangan profesi, b). dapat menetapkan tujuan hidup baik jangka pendek maupun jangka panjang, c). sebagai mahluk pengemban Firman Tia dan mampu menghadapidan mengatasi kesulitan, cobaan, penderitaan dan bencana dengan sikap hidup yang tepat, sesuai dengan pemahaman dan penghayatan atas hakikat kehidupan sebagai anugerah Tian (K3).","Mata kuliah ini membahas tentang: a. pengetahuan, nilaiTidak Adanilai dasar dan contoh contoh penerapan agama Khonghucu, b. Mendorong menjadi seorang Junzi (insan berbudi luhur) yang mengharmoniskan hubungan antara Tian (Tuhan), Di (Alam Semesta), dan Ren (Manusia); c. Memuliakan Lima Hubungan Kemasyarakatan (Wu Lun), menerapkan prinsip ZhiRen Yong (Bijaksana, Cinta Kasih dan Berani) sebagai wujud nyata memuliakan Tian, d. Menjunjung leluhur e. NilaiTidak Adanilai Kebajikan hakiki dalam kehidupan"
Pancasila,NOP103,2 sks,general,1.0,Tidak Ada,"Mampu merespons persoalan aktual bangsa dan negara, serta menerapkan nilaiTidak Adanilai Pancasila dalam kehidupan berbangsa dan bermasyarakat dengan capaian akhir mahasiswa mampu: memecahkan masalahTidak Adamasalah kebangsaan terkait Pancasila dengan membuat project kebangsaan sebagai berkontribusi dalam peningkatan mutu kehidupan bermasyarakat, berbangsa, bernegara, dan kemajuan peradaban berdasarkan Pancasila (C6, A2, P7)","Mata kuliah ini membahas: 1) Pancasila dalam kajian sejarah bangsa, Pancasila sebagai dasar negara, 2) Pancasila sebagai ideologi negara, 3) Pancasila sebagai sistem filsafat, 4) Pancasila sebagai sistem etika, 5) Nilai Pancasila sebagai dasar pengembangan ilmu, 6) Pemaknaan SilaTidak Adasila Pancasila, dan contoh penerapan dalam kehidupan berbangsa dan bermasyarakat"
Kewarganegaraan,NOP104,2 sks,general,1.0,Tidak Ada,"mahasiswa mampu menganalisis masalah masalah kontekstual kebangsaan, dengan mengembangkan sikap positif dan menampilkan perilaku sebagai cerminan: (i) semangat kebangsaan dan cinta tanah air, (ii) demokrasi berkeadaban, dan (iii) kesadaran hukum dan keragaman.","(i) PKn sebagai orientasi penguatan (dan pemantapan) karakter Bangsa Indonesia; (ii) identitas nasional, Politik Identitas, dan Nasionalisme Indonesia; (iii) Negara dan Konstitusi, Hubungan Negara dengan Warga Negara; (iv) Demokrasi Indonesia dan Pendidikan Demokrasi di Indonesia, Negara Hukum dan HAM; (v) Wawasan Nusantara sebagai Geopolitik Indonesia dan Ketahanan Nasional sebagai Geostrategi Indonesia di ranah globalisasi; (vi) Otonomi Daerah (Undang Undang tentang Desa). Bela Negaram, dan Perdamaian dunia; (vii) Integrasi Nasional; (viii) Pendidikan Antikorupsi; dan (ix) ketaatan pajak"
Bahasa Indonesia,BAI101,2 sks,general,1.0,Tidak Ada,"Setelah mengikuti mata kuliah ini mahasiswa mampu menerapkan pemakaian bahasa Indonesia yang baik dan benar, baik dalam komunikasi lisan maupun tulis berdasarkan kaidah dan etika ilmiah.","Mata kuliah ini membahas materi: a) Sejarah, fungsi, dan kedudukan bahasa Indonesia, b) ragam bahasa, c) penulisan ejaan yang disempurnakan, kalimat efektif, dan pengembangan paragraf d) penulisan karangan ilmiah (sistematika karangan ilmiah, teknik mengutip, teknik menyusun daftar pustaka, serta perwajahan dalam karangan ilmiah), e) presentasi ilmiah."
Data dan Pustaka,SIP107,2 sks,general,1.0,Tidak Ada,Mahasiswa mampu menggunakan data dan referensi ilmiah untuk mengambil keputusan dan mempersuasi.,"Mata kuliah ini bertujuan untuk mendorong mahasiswa belajar untuk memahami cara menginterpretasi dan menggunakan data dengan baik dan bertanggung jawab, sehingga mahasiswa dapat menyusun argumentasi yang kuat dan koheren, serta membekali mahasiswa dengan kemampuan untuk mengevaluasi kualitas argumentasi pihak/orang lain. Tidak semua orang akan menjadi ilmuwan yang harus merencanakan desain penelitian, mengumpulkan data, menganalisisnya dan menarik kesimpulan, namun literasi data akan membantu mahasiswa untuk mengambil keputusanTidak Adakeputusan dalam kehidupan sehariTidak Adahari yang terpandu oleh data. Selain itu, mahasiswa didorong untuk berlatih mencari, membaca, mengevaluasi, dan memilah klaim atau informasi yang dimuat dalam literatur ilmiah. Dalam mata kuliah ini, mahasiswa juga diberi kesempatan untuk berlatih mengorganisasi referensi ilmiah dengan bantuan aplikasi pengelola referensi. "
